filenames,filepaths,clusters
er_file_2023_08_12_12_35_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_11082023/17/er_file_2023_08_12_12_35_07.wav,0
er_file_2023_08_12_12_35_10.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_11082023/17/er_file_2023_08_12_12_35_10.wav,0
er_file_2024_02_04_9_09_00.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_03022024/355/er_file_2024_02_04_9_09_00.wav,0
er_file_2024_02_04_9_09_06.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_03022024/355/er_file_2024_02_04_9_09_06.wav,0
er_file_2023_09_17_8_00_27.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_10092023/69/er_file_2023_09_17_8_00_27.wav,0
er_file_2023_10_03_11_00_31.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/168/er_file_2023_10_03_11_00_31.wav,0
er_file_2023_10_03_11_00_33.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/168/er_file_2023_10_03_11_00_33.wav,0
er_file_2023_10_03_11_01_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/168/er_file_2023_10_03_11_01_07.wav,0
er_file_2023_10_03_11_01_09.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/168/er_file_2023_10_03_11_01_09.wav,0
er_file_2023_10_02_16_55_20.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/159/er_file_2023_10_02_16_55_20.wav,0
er_file_2023_09_30_18_20_15.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/134/er_file_2023_09_30_18_20_15.wav,0
er_file_2023_09_30_18_20_18.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/134/er_file_2023_09_30_18_20_18.wav,0
er_file_2023_10_04_17_22_29.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/193/er_file_2023_10_04_17_22_29.wav,0
er_file_2023_10_04_17_22_32.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/193/er_file_2023_10_04_17_22_32.wav,0
er_file_2023_10_03_11_21_18.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/169/er_file_2023_10_03_11_21_18.wav,0
er_file_2023_10_03_11_21_21.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_21092023/169/er_file_2023_10_03_11_21_21.wav,0
