datetime,precipRate,pressureMax,dewptAvg,windgustHigh,windspeedAvg,tempAve,humidityAvg,winddirAvg,uvHigh,solarRadiationHigh,BirdNET,MIT_AST_label,sound_class_label,file_name,filename,filepath,human_label
2023-11-17 11:04:07,0.0,1015.14,6.6,1.8,0.0,6.8,99.0,173.0,0.0,52.5,Corvus monedula_Eurasian Jackdaw,Fowl,bird,er_file_2023_11_17_11_04_07.wav,er_file_2023_11_17_11_04_07.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_12112023/135/er_file_2023_11_17_11_04_07.wav,Jackdaw
2023-12-10 11:45:00,0.0,1002.44,7.5,21.9,6.5,10.5,81.3,199.0,1.0,135.7,Corvus monedula_Eurasian Jackdaw,Fowl,bird,er_file_2023_12_10_11_45_00.wav,er_file_2023_12_10_11_45_00.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/101/er_file_2023_12_10_11_45_00.wav,Jackdaw
2023-09-08 14:08:52,0.0,1011.41,20.7,5.5,1.6,30.9,54.7,128.0,5.0,533.1,Corvus monedula_Eurasian Jackdaw,Turkey,bird,er_file_2023_09_08_14_08_52.wav,er_file_2023_09_08_14_08_52.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_02092023/156/er_file_2023_09_08_14_08_52.wav,Jackdaw
2024-02-01 17:22:05,0.0,1028.04,4.9,5.5,1.0,7.9,81.6,194.0,0.0,4.8,Corvus monedula_Eurasian Jackdaw,Caw,bird,er_file_2024_02_01_17_22_05.wav,er_file_2024_02_01_17_22_05.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/190/er_file_2024_02_01_17_22_05.wav,Jackdaw
2024-03-12 18:26:55,0.0,1008.94,8.4,7.2,1.6,8.8,97.0,130.0,0.0,2.6,Corvus monedula_Eurasian Jackdaw,"Bird vocalization, bird call, bird song",bird,er_file_2024_03_12_18_26_55.wav,er_file_2024_03_12_18_26_55.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_08032024/174/er_file_2024_03_12_18_26_55.wav,Jackdaw/tit
2024-03-22 13:45:35,0.0,1011.62,9.6,7.2,4.0,11.6,88.0,214.0,0.0,95.4,Corvus monedula_Eurasian Jackdaw,Crow,bird,er_file_2024_03_22_13_45_35.wav,er_file_2024_03_22_13_45_35.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_16032024/224/er_file_2024_03_22_13_45_35.wav,Jackdaw/tit
2024-02-02 12:01:39,0.0,1024.31,5.8,18.3,6.4,6.8,94.0,199.0,0.0,79.8,Corvus monedula_Eurasian Jackdaw,"Heart sounds, heartbeat",foley,er_file_2024_02_02_12_01_39.wav,er_file_2024_02_02_12_01_39.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/223/er_file_2024_02_02_12_01_39.wav,Wind/leaves/jackdaw
2023-09-16 15:30:03,0.0,1008.03,19.4,3.5,0.9,26.7,64.0,151.0,4.0,435.9,Corvus monedula_Eurasian Jackdaw,Caw,bird,er_file_2023_09_16_15_30_03.wav,er_file_2023_09_16_15_30_03.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_10092023/59/er_file_2023_09_16_15_30_03.wav,Jackdaw
2024-03-11 07:30:49,3.0,994.62,7.3,3.5,0.4,7.5,99.0,201.0,0.0,0.9,Corvus monedula_Eurasian Jackdaw,Raindrop,weather,er_file_2024_03_11_7_30_49.wav,er_file_2024_03_11_7_30_49.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_08032024/94/er_file_2024_03_11_7_30_49.wav,Jackdaw
2023-12-20 09:23:13,0.0,1012.02,5.4,11.1,5.3,6.4,94.0,199.0,0.0,25.6,Corvus monedula_Eurasian Jackdaw,Caw,bird,er_file_2023_12_20_9_23_13.wav,er_file_2023_12_20_9_23_13.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_16122023/176/er_file_2023_12_20_9_23_13.wav,Jackdaw
2023-12-13 11:00:22,0.0,992.42,8.6,0.0,0.0,8.8,99.0,196.0,0.0,54.6,Corvus monedula_Eurasian Jackdaw,Squeak,door,er_file_2023_12_13_11_00_22.wav,er_file_2023_12_13_11_00_22.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_07122023/230/er_file_2023_12_13_11_00_22.wav,Jackdaw
2024-03-18 19:09:01,0.0,1012.02,10.1,3.5,0.8,14.1,77.0,187.0,0.0,0.0,Corvus monedula_Eurasian Jackdaw,Caw,bird,er_file_2024_03_18_19_09_01.wav,er_file_2024_03_18_19_09_01.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_16032024/85/er_file_2024_03_18_19_09_01.wav,Wind/jackdaw
2024-02-05 10:28:20,0.0,1016.42,7.9,29.5,9.4,10.0,87.0,227.0,0.0,82.0,Corvus monedula_Eurasian Jackdaw,Fowl,bird,er_file_2024_02_05_10_28_20.wav,er_file_2024_02_05_10_28_20.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_03022024/449/er_file_2024_02_05_10_28_20.wav,Tap/Jackdaw/tit
2024-01-27 11:40:26,0.0,1032.34,3.1,7.2,2.2,5.0,88.0,200.0,1.0,136.6,Corvus monedula_Eurasian Jackdaw,Bird,bird,er_file_2024_01_27_11_40_26.wav,er_file_2024_01_27_11_40_26.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_26012024/12/er_file_2024_01_27_11_40_26.wav,Wind/leaves/jackdaw
2023-09-19 15:34:15,0.0,1004.64,14.0,23.8,6.6,19.7,69.8,247.0,1.0,168.7,Corvus monedula_Eurasian Jackdaw,Caw,bird,er_file_2023_09_19_15_34_15.wav,er_file_2023_09_19_15_34_15.wav,/Users/evgenynazarenko/DACS_3_year/Thesis/GardenFiles23/garden_10092023/97/er_file_2023_09_19_15_34_15.wav,Jackdaw/speech
