sessionId,time,filename,th1,th1_value,th2,th2_value,th3,th3_value,wudate,datetime,precipRate,pressureMax,dewptAvg,windgustHigh,windspeedAvg,tempAve,humidityAvg,winddirAvg,uvHigh,solarRadiationHigh,lon,lat,BirdNET,MIT_AST_label,sound_class_label,Human_detected
test,_2023_08_11_17_59_32,garden_11082023/0/er_file_2023_08_11_17_59_32.wav,0.2522343845538977,0.5,0.5005175547790102,0.5,0.0993439365508394,0.5,20230811,2023-08-11 17:59:32,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,,Animal,animal,0.0
test,_2023_08_11_17_59_35,garden_11082023/0/er_file_2023_08_11_17_59_35.wav,0.2452786087293648,0.17,0.3460690574483329,0.5,0.0370643799398702,0.5,20230811,2023-08-11 17:59:35,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,,Vehicle,vehicle,0.0
test,_2023_08_11_17_59_37,garden_11082023/0/er_file_2023_08_11_17_59_37.wav,0.1556266211717696,0.17,0.5291944161724269,0.5,0.022405532908392,0.21,20230811,2023-08-11 17:59:37,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,,Silence,weather,0.0
test,_2023_08_11_17_59_40,garden_11082023/0/er_file_2023_08_11_17_59_40.wav,0.1397522682487966,0.22,0.5363691912895743,0.5,0.0103691796649056,0.21,20230811,2023-08-11 17:59:40,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,Columba palumbus_Common Wood-Pigeon,Caw,bird,0.0
test,_2023_08_11_17_59_43,garden_11082023/0/er_file_2023_08_11_17_59_43.wav,0.2690186718765338,0.22,0.7534459350688512,0.5,0.0792629918107875,0.21,20230811,2023-08-11 17:59:43,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,Columba palumbus_Common Wood-Pigeon,Bird,bird,0.0
test,_2023_08_11_17_59_46,garden_11082023/0/er_file_2023_08_11_17_59_46.wav,0.1418087806433804,0.22,0.673050498654379,0.5,0.0181699791576431,0.21,20230811,2023-08-11 17:59:46,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,Erithacus rubecula_European Robin,Silence,weather,0.0
test,_2023_08_11_17_59_51,garden_11082023/0/er_file_2023_08_11_17_59_51.wav,0.3321781783849921,0.22,0.8719966605911404,0.5,0.0515589359861308,0.21,20230811,2023-08-11 17:59:51,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,,Animal,animal,0.0
test,_2023_08_11_17_59_54,garden_11082023/0/er_file_2023_08_11_17_59_54.wav,0.1677381423307024,0.22,0.8831170097362346,0.5,0.0730283868662716,0.21,20230811,2023-08-11 17:59:54,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,Corvus monedula_Eurasian Jackdaw,Squawk,bird,0.0
test,_2023_08_11_17_59_57,garden_11082023/0/er_file_2023_08_11_17_59_57.wav,0.3725679295064774,0.22,0.4848326402795049,0.5,0.1294780860068476,0.21,20230811,2023-08-11 17:59:57,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,,Animal,animal,0.0
test,_2023_08_11_18_00_03,garden_11082023/0/er_file_2023_08_11_18_00_03.wav,0.2316051670323138,0.22,0.9331322202987352,0.5,0.0996006360257661,0.21,20230811,2023-08-11 18:00:03,0.0,1018.32,20.1,3.5,0.8,28.0,62.4,188.0,4.0,468.9,5.462251,51.417782,Corvus monedula_Eurasian Jackdaw,Caw,bird,0.0
